task,model,MAE,RMSE,R2,CV_R2_mean,CV_R2_std,Accuracy,Precision,Recall,F1
Regression,Linear Regression,11.106558086357275,22.72673922765956,0.9746586598981493,0.9613633803709505,0.03560005957653053,,,,
Regression,Ridge Regression,10.707855505154997,21.412477777080518,0.9775048356501552,0.9708518217883306,0.014096819694024388,,,,
Regression,Random Forest Regressor,10.714329545454563,27.135693754846606,0.9638725608209266,0.980114303429132,0.011545493281884868,,,,
Regression,Gradient Boosting Regressor,9.40738118987232,26.405081611371003,0.9657917901093793,0.9870037226108217,0.008483274925623509,,,,
Classification,Logistic Regression,,,,,,0.9318181818181818,0.9339670340782689,0.9318181818181818,0.9323733544184036
Classification,Random Forest Classifier,,,,,,0.9886363636363636,0.9890151515151515,0.9886363636363636,0.9886363636363636
Classification,Gradient Boosting Classifier,,,,,,0.9886363636363636,0.9890151515151515,0.9886363636363636,0.9886329846187116
